         10x12WE                  (10x12WE.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        23.1        0.81      0.7276      0.1273      0.1423       0.031       0.649       0.365      23.047       0.073       1.624       7.184        0.12      42257.  
        24.5        0.86      0.7415      0.1191      0.1388       0.030       0.633       0.342      22.481       0.072       1.519       6.890        0.12      42546.  
        26.0        0.91      0.7525      0.1101      0.1339       0.029       0.611       0.316      21.687       0.069       1.405       6.604        0.12      42850.  
        27.4        0.97      0.7603      0.1010      0.1282       0.028       0.585       0.289      20.767       0.066       1.287       6.322        0.12      43169.  
        28.9        1.02      0.7647      0.0916      0.1217       0.026       0.555       0.263      19.715       0.063       1.168       6.040        0.13      43503.  
        30.3        1.07      0.7691      0.0821      0.1139       0.025       0.520       0.235      18.451       0.059       1.047       5.785        0.13      43852.  
        31.8        1.12      0.7708      0.0725      0.1051       0.023       0.480       0.208      17.027       0.054       0.924       5.535        0.13      44214.  
        33.2        1.17      0.7678      0.0627      0.0954       0.021       0.435       0.180      15.458       0.049       0.799       5.274        0.13      44591.  
        34.7        1.22      0.7583      0.0527      0.0848       0.018       0.387       0.151      13.736       0.044       0.672       4.991        0.13      44980.  
        36.1        1.27      0.7394      0.0426      0.0732       0.016       0.334       0.122      11.854       0.038       0.543       4.673        0.13      45383.  
        37.5        1.32      0.7042      0.0323      0.0606       0.013       0.277       0.093       9.823       0.031       0.412       4.279        0.13      45798.  
        39.0        1.37      0.6337      0.0218      0.0473       0.010       0.216       0.063       7.655       0.024       0.278       3.708        0.13      46225.  
        40.4        1.42      0.4807      0.0111      0.0330       0.007       0.151       0.032       5.343       0.017       0.142       2.712        0.13      46665.  
        41.9        1.47      0.0260      0.0003      0.0179       0.004       0.082       0.001       2.900       0.009       0.004       0.142        0.13      47116.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1456      0.0833       0.043       0.675       0.742      31.963       0.076       3.300      10.529        0.16      53260.  
         1.9        0.05      0.0853      0.1457      0.0869       0.045       0.705       0.743      33.343       0.080       3.303      10.103        0.16      53272.  
         3.9        0.10      0.1637      0.1459      0.0907       0.047       0.736       0.744      34.821       0.083       3.308       9.686        0.16      53310.  
         5.8        0.15      0.2353      0.1461      0.0948       0.049       0.769       0.745      36.389       0.087       3.313       9.283        0.16      53372.  
         7.7        0.20      0.3006      0.1463      0.0991       0.051       0.804       0.746      38.029       0.091       3.317       8.895        0.16      53458.  
         9.6        0.25      0.3601      0.1465      0.1035       0.053       0.840       0.747      39.739       0.095       3.322       8.524        0.16      53569.  
        11.6        0.31      0.4141      0.1467      0.1081       0.056       0.877       0.748      41.515       0.099       3.326       8.170        0.16      53705.  
        13.5        0.36      0.4630      0.1469      0.1130       0.058       0.916       0.749      43.364       0.104       3.330       7.830        0.16      53865.  
        15.4        0.41      0.5073      0.1470      0.1179       0.061       0.957       0.749      45.269       0.108       3.332       7.506        0.16      54049.  
        17.3        0.46      0.5472      0.1470      0.1230       0.063       0.998       0.749      47.212       0.113       3.332       7.198        0.16      54256.  
        19.3        0.51      0.5831      0.1468      0.1281       0.066       1.039       0.748      49.175       0.117       3.329       6.903        0.16      54487.  
        21.2        0.56      0.6153      0.1463      0.1330       0.068       1.079       0.746      51.079       0.122       3.317       6.621        0.16      54741.  
        23.1        0.61      0.6440      0.1450      0.1374       0.071       1.115       0.739      52.769       0.126       3.287       6.353        0.16      55018.  
        25.0        0.66      0.6695      0.1426      0.1409       0.073       1.143       0.727      54.076       0.129       3.233       6.096        0.16      55318.  
        27.0        0.71      0.6918      0.1389      0.1430       0.074       1.160       0.708      54.912       0.131       3.150       5.849        0.16      55640.  
        28.9        0.76      0.7111      0.1339      0.1437       0.074       1.166       0.683      55.185       0.132       3.037       5.611        0.16      55983.  
        30.8        0.81      0.7275      0.1275      0.1426       0.073       1.157       0.650      54.765       0.131       2.891       5.382        0.16      56348.  
        32.8        0.86      0.7415      0.1193      0.1391       0.072       1.129       0.608      53.415       0.128       2.704       5.163        0.16      56734.  
        34.7        0.92      0.7525      0.1103      0.1342       0.069       1.089       0.562      51.518       0.123       2.500       4.949        0.17      57140.  
        36.6        0.97      0.7603      0.1011      0.1285       0.066       1.042       0.515      49.326       0.118       2.291       4.737        0.17      57567.  
        38.5        1.02      0.7648      0.0917      0.1220       0.063       0.989       0.467      46.820       0.112       2.078       4.526        0.17      58013.  
        40.5        1.07      0.7693      0.0822      0.1141       0.059       0.926       0.419      43.802       0.105       1.863       4.336        0.17      58478.  
        42.4        1.12      0.7710      0.0725      0.1052       0.054       0.854       0.370      40.401       0.096       1.644       4.148        0.17      58963.  
        44.3        1.17      0.7679      0.0627      0.0955       0.049       0.774       0.319      36.654       0.088       1.421       3.952        0.17      59465.  
