         6.5x7.0                  (65x70.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
         6.8        0.28      0.4069      0.1113      0.0757       0.005       0.071       0.101       3.374       0.008       0.450      13.614        0.10      17034.  
         8.0        0.32      0.4603      0.1115      0.0783       0.005       0.074       0.101       3.486       0.008       0.451      13.202        0.10      17076.  
         9.1        0.37      0.5093      0.1118      0.0810       0.005       0.076       0.102       3.608       0.009       0.452      12.780        0.10      17124.  
        10.2        0.42      0.5534      0.1119      0.0840       0.005       0.079       0.102       3.742       0.009       0.453      12.343        0.10      17179.  
        11.4        0.46      0.5926      0.1120      0.0872       0.005       0.082       0.102       3.886       0.009       0.453      11.896        0.10      17239.  
        12.5        0.51      0.6268      0.1120      0.0907       0.005       0.085       0.102       4.040       0.010       0.453      11.440        0.10      17306.  
        13.6        0.55      0.6561      0.1117      0.0943       0.006       0.089       0.102       4.200       0.010       0.452      10.976        0.10      17379.  
        14.8        0.60      0.6804      0.1109      0.0978       0.006       0.092       0.101       4.357       0.010       0.449      10.508        0.10      17458.  
        15.9        0.65      0.7024      0.1093      0.1006       0.006       0.095       0.099       4.479       0.011       0.442      10.072        0.11      17542.  
        17.0        0.69      0.7219      0.1065      0.1021       0.006       0.096       0.097       4.550       0.011       0.431       9.661        0.11      17633.  
        18.2        0.74      0.7390      0.1022      0.1021       0.006       0.096       0.093       4.547       0.011       0.413       9.272        0.11      17729.  
        19.3        0.78      0.7545      0.0957      0.0995       0.006       0.094       0.087       4.431       0.011       0.387       8.909        0.11      17831.  
        20.5        0.83      0.7675      0.0884      0.0957       0.006       0.090       0.080       4.264       0.010       0.358       8.560        0.11      17939.  
        21.6        0.88      0.7779      0.0811      0.0914       0.005       0.086       0.074       4.071       0.010       0.328       8.219        0.11      18051.  
        22.7        0.92      0.7862      0.0736      0.0863       0.005       0.081       0.067       3.846       0.009       0.298       7.891        0.11      18170.  
        23.9        0.97      0.7918      0.0659      0.0806       0.005       0.076       0.060       3.592       0.009       0.267       7.570        0.11      18293.  
        25.0        1.02      0.7938      0.0581      0.0743       0.004       0.070       0.053       3.309       0.008       0.235       7.244        0.11      18422.  
        26.1        1.06      0.7910      0.0502      0.0673       0.004       0.063       0.046       2.998       0.007       0.203       6.904        0.11      18555.  
        27.3        1.11      0.7805      0.0421      0.0597       0.004       0.056       0.038       2.661       0.006       0.170       6.529        0.11      18694.  
        28.4        1.15      0.7583      0.0339      0.0516       0.003       0.049       0.031       2.298       0.005       0.137       6.089        0.11      18837.  
        29.5        1.20      0.7159      0.0256      0.0429       0.003       0.040       0.023       1.909       0.005       0.103       5.527        0.11      18985.  
        30.7        1.25      0.6347      0.0171      0.0336       0.002       0.032       0.016       1.495       0.004       0.069       4.719        0.11      19138.  
